sno,name,regularprice,saleprice,category,inStock
g092,30 shots multicolor,1125,393.75,REPEATING SHOTS,TRUE
g093,30 shots color with crakling,1437,502.95,REPEATING SHOTS,TRUE
g094,50 rider,1160,406,REPEATING SHOTS,TRUE
g095,60 shots color,2650,927.5,REPEATING SHOTS,TRUE
g096,60 shots color with crakling,2874,1005.9,REPEATING SHOTS,TRUE
g097,100 rider,1854,648.9,REPEATING SHOTS,TRUE
g098,120 shots,5747,2011.45,REPEATING SHOTS,TRUE
g099,240 shots,11495,4023.25,REPEATING SHOTS,TRUE
g100,Wonder thunder musical,574,200.9,REPEATING SHOTS,TRUE
g101,Ipl winner 10x10,9177,3211.95,REPEATING SHOTS,TRUE
g102,Dhoni shots 10x10,8343,2920.05,REPEATING SHOTS,TRUE
g103,Pappu showers,309,108.15,SHOWERS,TRUE
g104,Peri peri,603,211.05,SHOWERS,TRUE
g105,Motu patlu,603,211.05,SHOWERS,TRUE
g106,Toy story,768,268.8,SHOWERS,TRUE
g107,"4"" Tin Shower",315,110.25,SHOWERS,TRUE
g108,Water queen,486,170.1,SHOWERS,TRUE
g109,Mega shower,441,154.35,SHOWERS,TRUE
g110,"Double douker 6""",480,168,SHOWERS,TRUE
g111,"Triple monkey 8""",620,217,SHOWERS,TRUE
g112,Small peacock magical,405,141.75,SHOWERS,TRUE
g113,Bada peacock,1350,472.5,SHOWERS,TRUE
g114,Bat,360,126,SHOWERS,TRUE
g115,Lollipop,510,178.5,SHOWERS,TRUE
g116,Hammer thor,603,211.05,SHOWERS,TRUE
g117,Sunshine deluxe,1229,430.15,SHOWERS,TRUE
g118,1  1/2' twinkling star,70,24.5,TWINKLING STAR,TRUE
g119,4' twinkling star ,162,56.7,TWINKLING STAR,TRUE
g120,Dragon fighter,160,56,TWINKLING STAR,TRUE
g121,Sword big,602,210.7,TWINKLING STAR,TRUE
g122,Sword small,300,105,TWINKLING STAR,TRUE
g123,Kunfu,135,47.25,GARLAND,TRUE
g124,Kunfu deluxe,171,59.85,GARLAND,TRUE
g125,Jagajal bada deluxe (20pcs),1020,357,GARLAND,TRUE
g126,1000 to 2000 digital lar,950,332.5,GARLAND,TRUE
g127,Magic sound,417,145.95,GARLAND,TRUE
g128,I am lor children 2000,255,89.25,GARLAND,TRUE
g129,Five falls,185,64.75,GARLAND,TRUE
g130,Black money,585,204.75,GARLAND,TRUE
g131,Royal color matches,602,210.7,MATCHES,TRUE
g132,Lion Matches,418,146.3,MATCHES,TRUE
g133,100 wala ,110,38.5,WALA CRACKERS,TRUE
g134,1k sound ,450,157.5,WALA CRACKERS,TRUE
g135,2k sound,900,315,WALA CRACKERS,TRUE
g136,5k sound,2250,787.5,WALA CRACKERS,TRUE
g137,10k sound ,4500,1575,WALA CRACKERS,TRUE
g138,Tricolor,780,273,WALA CRACKERS,TRUE
g139,Tricolor deluxe,820,287,WALA CRACKERS,TRUE
g140,Lunik rocket color,320,112,WALA CRACKERS,TRUE
g141,Lunik rocket bomb,202,70.7,WALA CRACKERS,TRUE
g142,4x4 wheel,420,147,WALA CRACKERS,TRUE
g143,Pamparam,400,140,WALA CRACKERS,TRUE
g144,Helicopters,440,154,WALA CRACKERS,TRUE
g145,Butterfly,420,147,WALA CRACKERS,TRUE
g146,24 deluxe crackers,180,63,WALA CRACKERS,TRUE
g147,28 deluxe crackers,210,73.5,WALA CRACKERS,TRUE
g148,50 deluxe crackers,400,140,WALA CRACKERS,TRUE
g149,28 giant crackers,80,28,WALA CRACKERS,TRUE
g150,56 giant crackers,160,56,WALA CRACKERS,TRUE
g151,Smoke,450,157.5,WALA CRACKERS,TRUE
g152,Amberla,608,212.8,WALA CRACKERS,TRUE
g153,SILVER PACK,2999,2999,FAMILY COMBO PACKS,TRUE
g154,GOLD PACK,5999,5999,FAMILY COMBO PACKS,TRUE
g155,DIAMOND PACK,7599,7599,FAMILY COMBO PACKS,TRUE
g156,PLATINUM PACK,10999,10999,FAMILY COMBO PACKS,TRUE
